id,dbId
adelaide,1
aida,2
ain-diab,3
aintree,4
anderstorp,5
austin,6
avus,7
bahrain,8
baku,9
brands-hatch,10
bremgarten,11
buddh,12
buenos-aires,13
bugatti,14
caesars-palace,15
catalunya,16
clermont-ferrand,17
dallas,18
detroit,19
dijon,20
donington,21
east-london,22
estoril,23
fuji,24
hockenheimring,25
hungaroring,26
imola,27
indianapolis,28
interlagos,29
istanbul,30
jacarepagua,31
jarama,32
jeddah,33
jerez,34
kyalami,35
las-vegas,36
long-beach,37
losail,38
magny-cours,39
marina-bay,40
melbourne,41
mexico-city,42
miami,43
monaco,44
monsanto,45
mont-tremblant,46
montjuic,47
montreal,48
monza,49
mosport,50
mugello,51
nivelles,52
nurburgring,53
paul-ricard,54
pedralbes,55
pescara,56
phoenix,57
portimao,58
porto,59
reims,60
riverside,61
rouen,62
sebring,63
sepang,64
shanghai,65
silverstone,66
sochi,67
spa-francorchamps,68
spielberg,69
suzuka,70
valencia,71
watkins-glen,72
yas-marina,73
yeongam,74
zandvoort,75
zeltweg,76
zolder,77
