id,dbId
adams,1
afm,2
ags,3
alfa-romeo,4
alfa-special,5
alphatauri,6
alpine,7
alta,8
amon,9
andrea-moda,10
apollon,11
arrows,12
arzani-volpini,13
aston-butterworth,14
aston-martin,15
ats-wheels,16
ats,17
balsa,18
bar,19
behra-porsche,20
bellasi,21
benetton,22
bmw-sauber,23
bmw,24
boro,25
brabham,26
brawn,27
brm,28
bromme,29
brp,30
bugatti,31
caterham,32
christensen,33
cisitalia,34
coloni,35
connaught,36
connew,37
cooper,38
dallara,39
de-tomaso,40
deidt,41
del-roy,42
derrington-francis,43
dunn,44
eagle,45
eifelland,46
elder,47
emeryson,48
emw,49
enb,50
ensign,51
epperly,52
era,53
eurobrun,54
ewing,55
ferguson,56
ferrari,57
first,58
fittipaldi,59
fondmetal,60
footwork,61
force-india,62
forti,63
frank-williams-racing-cars,64
frazer-nash,65
fry,66
gilby,67
gordini,68
greifzu,69
haas,70
hall,71
heck,72
hesketh,73
hill,74
honda,75
hrt,76
hwm,77
iso-marlboro,78
jaguar,79
jbw,80
jordan,81
kauhsen,82
kick-sauber,83
klenk,84
kojima,85
krakau,86
kurtis,87
kuzma,88
lancia,89
langley,90
larrousse,91
lds,92
lec,93
lesovsky,94
leyton-house,95
life,96
ligier,97
lola,98
lotus-f1,99
lotus-racing,100
lotus,101
lyncar,102
maki,103
manor,104
march,105
marchese,106
martini,107
marussia,108
maserati,109
matra,110
mcguire,111
mclaren,112
mercedes,113
merzario,114
meskowski,115
midland,116
minardi,117
modena,118
moore,119
nacke,120
nichels,121
olson,122
onyx,123
osca,124
osella,125
pacific,126
pankratz,127
parnelli,128
pawl,129
penske,130
phillips,131
politoys,132
porsche,133
prost,134
protos,135
racing-point,136
rae,137
ram,138
rb,139
rebaque,140
red-bull,141
renault,142
rial,143
sauber,144
scarab,145
schroeder,146
scirocco,147
shadow,148
shannon,149
sherman,150
simca-gordini,151
simtek,152
snowberger,153
spirit,154
spyker,155
stebro,156
stevens,157
stewart,158
super-aguri,159
surtees,160
sutton,161
talbot-lago,162
tec-mec,163
tecno,164
theodore,165
token,166
toleman,167
toro-rosso,168
toyota,169
trevis,170
trojan,171
turner,172
tyrrell,173
vanwall,174
venturi,175
veritas,176
virgin,177
watson,178
wetteroth,179
williams,180
wolf-williams,181
wolf,182
zakspeed,183
