id,dbId
70th-anniversary,1
abu-dhabi,2
argentina,3
australia,4
austria,5
azerbaijan,6
bahrain,7
belgium,8
brazil,9
caesars-palace,10
canada,11
china,12
dallas,13
detroit,14
eifel,15
emilia-romagna,16
europe,17
france,18
germany,19
great-britain,20
hungary,21
india,22
indianapolis,23
italy,24
japan,25
korea,26
las-vegas,27
luxembourg,28
malaysia,29
mexico,30
miami,31
monaco,32
morocco,33
netherlands,34
pacific,35
pescara,36
portugal,37
qatar,38
russia,39
sakhir,40
san-marino,41
saudi-arabia,42
singapore,43
south-africa,44
spain,45
styria,46
sweden,47
switzerland,48
turkey,49
tuscany,50
united-states-west,51
united-states,52
