id,name,fullName,type,countryId,latitude,longitude
1,Adelaide,Adelaide Street Circuit,STREET,14,-34.927222,138.617222
2,Aida,Okayama International Circuit,RACE,113,34.915,134.221111
3,Ain-Diab,Ain-Diab Circuit,ROAD,149,33.578611,-7.6875
4,Aintree,Aintree Motor Racing Circuit,ROAD,235,53.476944,-2.940556
5,Anderstorp Raceway,Anderstorp Raceway,RACE,216,57.264167,13.601389
6,Americas,Circuit of the Americas,RACE,237,30.132778,-97.641111
7,AVUS,AVUS,ROAD,84,52.480556,13.251389
8,Bahrain,Bahrain International Circuit,RACE,18,26.0325,50.510556
9,Baku,Baku City Circuit,STREET,16,40.3725,49.853333
10,Brands Hatch,Brands Hatch,RACE,235,51.356667,0.2625
11,Bremgarten,Circuit Bremgarten,ROAD,217,46.95,7.410833
12,Buddh,Buddh International Circuit,RACE,103,28.350556,77.535
13,Juan y Oscar Gálvez,Autódromo Juan y Oscar Gálvez,RACE,11,-34.694272,-58.459347
14,Bugatti,Bugatti Circuit,RACE,77,47.937694,0.225611
15,Caesars Palace,Caesars Palace,STREET,237,36.116944,-115.175
16,Catalunya,Circuit de Barcelona-Catalunya,RACE,210,41.57,2.261111
17,Charade,Charade Circuit,ROAD,77,45.747222,3.038889
18,Fair Park,Fair Park,STREET,237,32.781944,-96.765556
19,Detroit,Detroit Street Circuit,STREET,237,42.32975,-83.040111
20,Dijon-Prenois,Dijon-Prenois,RACE,77,47.3625,4.899167
21,Donington Park,Donington Park,RACE,235,52.829806,-1.379556
22,Prince George,Prince George Circuit,RACE,206,-33.048611,27.873611
23,Estoril,Autódromo do Estoril,RACE,177,38.750833,-9.394167
24,Fuji,Fuji Speedway,RACE,113,35.371667,138.926667
25,Hockenheimring,Hockenheimring,RACE,84,49.327778,8.565833
26,Hungaroring,Hungaroring,RACE,101,47.582222,19.251111
27,Enzo e Dino Ferrari,Autodromo Internazionale Enzo e Dino Ferrari,RACE,110,44.341111,11.713333
28,Indianapolis,Indianapolis Motor Speedway,RACE,237,39.798333,-86.232778
29,José Carlos Pace,Autódromo José Carlos Pace,RACE,32,-23.701111,-46.697222
30,Istanbul Park,Istanbul Park,RACE,228,40.951667,29.405
31,Nelson Piquet,Autódromo Internacional Nelson Piquet,RACE,32,-22.975556,-43.395
32,Jarama,Circuito del Jarama,RACE,210,40.617111,-3.585583
33,Jeddah,Jeddah Corniche Circuit,STREET,195,21.543333,39.172778
34,Jerez,Circuito de Jerez,RACE,210,36.708333,-6.034167
35,Kyalami,Kyalami Racing Circuit,RACE,206,-25.998611,28.068889
36,Las Vegas,Las Vegas Street Circuit,STREET,237,36.175,-115.136389
37,Long Beach,Long Beach,STREET,237,33.766389,-118.192778
38,Losail,Losail International Circuit,RACE,179,25.49,51.454167
39,Magny-Cours,Circuit de Nevers Magny-Cours,RACE,77,46.863242,3.164228
40,Marina Bay,Marina Bay Street Circuit,STREET,200,1.291531,103.86385
41,Melbourne,Melbourne Grand Prix Circuit,STREET,14,-37.849722,144.968333
